STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
HIMACHAL PRADESH,2005,110,79,22,141,118,6,0,22,696,696,558,82,163,6,97,1359,2,286,29,228,0,480,7165,12345
JAMMU & KASHMIR,2005,647,905,37,201,748,13,0,116,1397,1901,1222,117,403,29,240,355,5,830,371,76,0,462,10040,20115
JHARKHAND,2005,1523,1084,87,753,621,592,49,732,1610,6195,2524,243,643,19,202,3078,257,293,36,590,4,1490,12550,35175
KARNATAKA,2005,1609,1406,80,343,589,208,119,1202,5986,17008,6151,434,2909,133,238,20883,261,1585,71,1883,0,243,54239,117580
KERALA,2005,388,341,88,478,226,110,158,621,4110,5454,6535,361,3261,79,456,18302,21,2339,175,3283,0,34,57530,104350
MADHYA PRADESH,2005,2405,2512,134,2921,847,147,130,1557,11192,20685,2573,613,1292,51,817,33803,739,6426,792,2989,3,4593,91951,189172
MAHARASHTRA,2005,2621,1614,98,1545,1194,641,307,2411,15615,46851,6779,1720,6391,385,1123,30017,341,3228,919,6233,0,9608,47386,187027
MANIPUR,2005,256,252,4,25,106,4,0,8,62,243,35,52,122,10,155,295,0,25,0,20,0,5,1234,2913
MEGHALAYA,2005,134,35,2,63,48,81,1,95,148,476,42,18,39,3,70,135,1,44,0,3,0,61,381,1880
MIZORAM,2005,24,24,5,37,13,3,0,6,442,777,35,11,58,5,20,77,4,49,4,0,0,4,558,2156
NAGALAND,2005,87,26,8,17,26,12,0,80,93,294,8,17,41,5,4,35,0,7,0,0,0,37,252,1049
